Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_AMMO6x351,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,6mm KAC-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO750x540,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR,7.5mm FR
STR_AMMO750x541,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,7.5mm FR-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO762x510,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm OTAN,7.62mm NATO,7.62mm NATO,7.62mm NATO,7.62mm NATO
STR_AMMO762x511,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,7.62mm NATO-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO792x570,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser,7.92mm Mauser
STR_AMMO792x571,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,7.92mm Mauser-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMO7x640,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington,7mm Remington
STR_AMMO7x641,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,7mm Remington-Munition für entsprechende Gewehre,Амуниция для оружия.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Algo de Munición para armas de fuego.,Quelques munitions pour armes à feu.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.,Some ammunition for firearms.
STR_AMMOBOX127x990,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,Caja de munición 12.7mm / .50,Boite de 12.7mm / .50,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box,12.7mm / .50 Box
STR_AMMOBOX127x991,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit 12.7mm / .50-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX300AAC0,.300 AAC Box,.300 AAC Box,.300 AAC Box,.300 AAC Box,.300 AAC Box,.300 AAC Box,.300 AAC Box,.300 AAC Box,Caja de munición .300 AAC,Boite de .300 AAC,.300 AAC Box,.300 AAC Box,.300 AAC Box,.300 AAC Box
STR_AMMOBOX300AAC1,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit .300 AAC-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX4080,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,Caja de munición .408 Cheytac,Boite de .408 Cheytac,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box,.408 Cheytac Box
STR_AMMOBOX4081,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit .408 Cheytac-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX6x350,6mm KAC Box,6mm KAC Box,6mm KAC Box,6mm KAC Box,6mm KAC Box,6mm KAC Box,6mm KAC Box,6mm KAC Box,Caja de munición 6mm KAC,Boite de 6mm KAC,6mm KAC Box,6mm KAC Box,6mm KAC Box,6mm KAC Box
STR_AMMOBOX6x351,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit 6mm KAC-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX750x540,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,Caja de munición 7.5mm FR,Boite de 7.5mm FR,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box,7.5mm FR Box
STR_AMMOBOX750x541,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit 7.5mm FR-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX762x510,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,Caja de munición 7.62mm NATO,Boite de 7.62mm OTAN,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box,7.62mm NATO Box
STR_AMMOBOX762x511,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit 7.62mm NATO-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX792x570,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,Caja de munición 7.92mm Mauser,Boite de 7.92mm Mauser,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box,7.92mm Mauser Box
STR_AMMOBOX792x571,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit 7.92mm Mauser-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
STR_AMMOBOX7x640,7mm Remington Box,7mm Remington Box,7mm Remington Box,7mm Remington Box,7mm Remington Box,7mm Remington Box,7mm Remington Box,7mm Remington Box,Caja de munición 7mm Remington,Boite de 7mm Remington,7mm Remington Box,7mm Remington Box,7mm Remington Box,7mm Remington Box
STR_AMMOBOX7x641,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Eine Schachtel mit 7mm Remington-Munition,Картонная коробка с патронами.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,Una caja de cartón que contiene munición para armas de fuego.,Une boite en carton contenant des munitions pour armes à feu.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.,A cardboard box containing ammunition for firearms.
MELEE,,,,,,,,,,,,,,
STR_GolfClub0,Golf Club,Golf Club,Golf Club,Golfschläger,Клюшка для гольфа,Golf Club,Golf Club,Golf Club,Palo de Golf ,Club de Golf,Golf Club,Golf Club,Golf Club,Golf Club
STR_GolfClub1,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,"Ein Golfschläger ist ein Schläger, mit dem ein Golfball in einem Golfspiel geschlagen wird. Jeder Schläger besteht aus einem Schaft mit Griff und einem Schlägerkopf.","Это клюшка, используемая для удара по мячу во время игры в гольф. Состоит из стержня с рукояткой и головки клюшки.",A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,Un palo de golf es un palo que se utiliza para golpear una bola de golf en un juego de golf. Cada palo se compone de una varilla con una empuñadura y una cabeza de palo.,Un club de golf est un club utilisé pour frapper une balle de golf dans une partie de golf. Chaque club est composé d'un manche avec une poignée et une tête de club.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.,A golf club is a club used to hit a golf ball in a game of golf. Each club is composed of a shaft with a grip and a club head.
STR_Katana0,Katana,Katana,Katana,Katana,Катана,Katana,Katana,Katana,Katana,Katana,Katana,Katana,Katana,Katana
STR_Katana1,"A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","Ein Katana ist ein japanisches Schwert, das sich durch eine gebogene, einschneidige Klinge mit kreisförmigem oder quadratischem Schutz und langem Griff für zwei Hände auszeichnet. Es wurde von den Samurai des alten und feudalen Japan verwendet.","Катана - это японский меч, характеризующийся изогнутым однолезвийным клинком с круглой или квадратной гардой и длинной рукоятью для размещения двух рук. Его использовали самураи древней и феодальной Японии.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.",Una katana es una espada japonesa caracterizada por una hoja curva de un solo filo con una guarda circular o cuadrada y una empuñadura larga para acomodar las dos manos. La utilizaban los samuráis del Japón antiguo y feudal.,Un katana est une épée japonaise caractérisée par une lame incurvée à un seul tranchant avec une garde circulaire ou carrée et une longue poignée pour accueillir les deux mains. Il était utilisé par les samouraïs du Japon ancien et féodal.,"A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan."
STR_KatanaScabbard0,Katana Scabbard,Katana Scabbard,Katana Scabbard,Katana-Schwertscheide,Ножны для катаны,Katana Scabbard,Katana Scabbard,Katana Scabbard,Vaina de Katana,Fourreau de Katana,Katana Scabbard,Katana Scabbard,Katana Scabbard,Katana Scabbard
STR_KatanaScabbard1,"A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.",Schwertscheide für ein Katana,"Катана - это японский меч, характеризующийся изогнутым однолезвийным клинком с круглой или квадратной гардой и длинной рукоятью для размещения двух рук. Его использовали самураи древней и феодальной Японии.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.",Una katana es una espada japonesa caracterizada por una hoja curva de un solo filo con una guarda circular o cuadrada y una empuñadura larga para acomodar las dos manos. La utilizaban los samuráis del Japón antiguo y feudal.,Un katana est une épée japonaise caractérisée par une lame incurvée à un seul tranchant avec une garde circulaire ou carrée et une longue poignée pour accueillir les deux mains. Il était utilisé par les samouraïs du Japon ancien et féodal.,"A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan.","A katana is a Japanese sword characterized by a curved, single-edged blade with a circular or squared guard and long grip to accommodate two hands. It was used by the samurai of ancient and feudal Japan."
STR_ModernAxe0,Modern Axe,Modern Axe,Modern Axe,Moderne-Axt,Современный топор,Modern Axe,Modern Axe,Modern Axe,Hacha Moderna,Hâche Moderne,Modern Axe,Modern Axe,Modern Axe,Modern Axe
STR_ModernAxe1,"Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Vor der Modernen-Axt hatten die frühesten Beispiele Äxte Köpfe aus Stein mit einer Art Holzgriff, die den verfügbaren Materialien und der Verwendung entsprachen. Bei der Entwicklung dieser Technologien erschienen Äxte aus Kupfer, Bronze, Eisen und Stahl.","До появления современного топора самые ранние образцы топоров с ручками имели каменные головы с деревянной ручкой, прикрепленной способом, соответствующим доступным материалам и использованию. По мере развития этих технологий появились топоры из меди, бронзы, железа и стали.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Antes del hacha moderna, existia ejemplos de hachas con mango de madera y cabeza de piedra. Las hachas de cobre, bronce, hierro y acero fueron apareciendo a medida que se desarrollaban estos materiales.","Avant la hache moderne, les premiers exemples de haches à main avaient des têtes de pierre avec une sorte de manche en bois attaché selon une méthode adaptée aux matériaux disponibles et à l'utilisation de l'époque. Des haches en cuivre, bronze, fer et acier sont apparues au fur et à mesure que les technologies se sont développées.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern axe, the earliest examples of handled axes have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. Axes made of copper, bronze, iron and steel appeared as these technologies developed."
STR_ModernTomahawk0,Modern Tomahawk,Modern Tomahawk,Modern Tomahawk,Modernes-Tomahawk,Современный томагавк,Modern Tomahawk,Modern Tomahawk,Modern Tomahawk,Tomahawk Moderno,Tomahawk Moderne,Modern Tomahawk,Modern Tomahawk,Modern Tomahawk,Modern Tomahawk
STR_ModernTomahawk1,"Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Vor dem Modernen-Tomahawk hatten die frühesten Beispiele Äxte Köpfe aus Stein mit einer Art Holzgriff, die den verfügbaren Materialien und der Verwendung entsprachen. Bei der Entwicklung dieser Technologien erschienen Äxte aus Kupfer, Bronze, Eisen und Stahl.","До появления современного томогавка самые ранние образцы топоров с ручками имели каменные головы с деревянной ручкой, прикрепленной способом, соответствующим доступным материалам и использованию. По мере развития этих технологий появились топоры из меди, бронзы, железа и стали.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Antes del Tomahawk moderno, existia ejemplos de hachas con mango de madera y cabeza de piedra. Las hachas de cobre, bronce, hierro y acero fueron apareciendo a medida que se desarrollaban estos materiales.","Avant la tomahawk moderne, les premiers exemples de tomahawks à main avaient des têtes de pierre avec une sorte de manche en bois attaché selon une méthode adaptée aux matériaux disponibles et à l'utilisation de l'époque. Des tomahawks en cuivre, bronze, fer et acier sont apparues au fur et à mesure que les technologies se sont développées.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed.","Before the modern tomahawk, the earliest examples of handled tomahawks have heads of stone with some form of wooden handle attached (hafted) in a method to suit the available materials and use. tomahawks made of copper, bronze, iron and steel appeared as these technologies developed."
STR_Shashka0,Shashka,Shashka,Shashka,Shashka,Шашка,Shashka,Shashka,Shashka,Shashka,Shashka,Shashka,Shashka,Shashka,Shashka
