Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_HRS_Action_Craft_Shorty12_Handle,Craft Shorty .12 Handle,Craft Shorty .12 Handle,Craft Shorty .12 Handle,Shorty .12 Griff herstellen,Сделать рукоять для дробовика,Craft Shorty .12 Handle,Craft Shorty .12 Handle,Craft Shorty .12 Handle,Crear Mango Shorty .12,Créer une poignée de Shorty .12,Craft Shorty .12 Handle,Craft Shorty .12 Handle,Fazer corpo da escopeta,Craft Shorty .12 Handle
STR_HRS_Action_Craft_Shorty12_Mecanism,Craft Shorty .12 Mecanism,Craft Shorty .12 Mecanism,Craft Shorty .12 Mecanism,Shorty .12 Mechanik herstellen,Сделать механизм дробовика,Craft Shorty .12 Mecanism,Craft Shorty .12 Mecanism,Craft Shorty .12 Mecanism,Crear Mecanismo Shorty .12,Créer un mécanisme de Shorty .12,Craft Shorty .12 Mecanism,Craft Shorty .12 Mecanism,Fazer mecanismos para escopeta,Craft Shorty .12 Mecanism
STR_HRS_Action_Craft_Shorty12_Woodgrip,Craft Shorty .12 Woodgrip,Craft Shorty .12 Woodgrip,Craft Shorty .12 Woodgrip,Shorty .12 Holzschaft herstellen,Сделать ложе дробовика,Craft Shorty .12 Woodgrip,Craft Shorty .12 Woodgrip,Craft Shorty .12 Woodgrip,Crear Empuñadura de Madera Shorty .12,Créer une prise en main de Shorty .12,Craft Shorty .12 Woodgrip,Craft Shorty .12 Woodgrip,Fazer empunhadura de escopeta,Craft Shorty .12 Woodgrip
STR_HRS_Action_Craft_Shovel,Craft Handmade Shovel,Craft Handmade Shovel,Craft Handmade Shovel,handgemachte Schaufel herstellen,Собрать самодельную лопату,Craft Handmade Shovel,Craft Handmade Shovel,Craft Handmade Shovel,Fabricar Pala,Créer une pelle improvisée,Craft Handmade Shovel,Craft Handmade Shovel,Fazer pá improvisada,Craft Handmade Shovel
STR_HRS_Action_Craft_Shovel_Handle,Craft Shovel Handle,Craft Shovel Handle,Craft Shovel Handle,Schaufelstiel herstellen,Сделать рукоять для лопаты,Craft Shovel Handle,Craft Shovel Handle,Craft Shovel Handle,Fabricar mango de pala,Créer un manche de pelle,Craft Shovel Handle,Craft Shovel Handle,Fazer cabo para pá,Craft Shovel Handle
STR_HRS_Action_Craft_Shovel_Head,Craft Shovel Head,Craft Shovel Head,Craft Shovel Head,Schaufelkopf herstellen,Сделать лезвие лопаты,Craft Shovel Head,Craft Shovel Head,Craft Shovel Head,Fabricar cabeza de pala,Créer une tête de pelle,Craft Shovel Head,Craft Shovel Head,Fazer cabeça de pá,Craft Shovel Head
STR_HRS_Action_Craft_SledgeHammer,Craft Handmade SledgeHammer,Craft Handmade SledgeHammer,Craft Handmade SledgeHammer,handgemachter Vorschlaghammer herstellen,Собрать самодельную кувалду,Craft Handmade SledgeHammer,Craft Handmade SledgeHammer,Craft Handmade SledgeHammer,Fabricar Mazo,Créer une masse improvisée,Craft Handmade SledgeHammer,Craft Handmade SledgeHammer,Fazer marreta improvisada,Craft Handmade SledgeHammer
STR_HRS_Action_Craft_SledgeHammer_Handle,Craft SledgeHammer Handle,Craft SledgeHammer Handle,Craft SledgeHammer Handle,Vorschlaghammerstiel herstellen,Сделать рукоять для кувалды,Craft SledgeHammer Handle,Craft SledgeHammer Handle,Craft SledgeHammer Handle,Fabricar mango de mazo,Créer un manche de masse,Craft SledgeHammer Handle,Craft SledgeHammer Handle,Fazer corpo de marreta,Craft SledgeHammer Handle
STR_HRS_Action_Craft_SledgeHammer_Head,Craft SledgeHammer Head,Craft SledgeHammer Head,Craft SledgeHammer Head,Vorschlaghammerkopf herstellen,Сделать голову кувалды,Craft SledgeHammer Head,Craft SledgeHammer Head,Craft SledgeHammer Head,Fabricar Cabeza de Mazo,Créer une tête de masse,Craft SledgeHammer Head,Craft SledgeHammer Head,Fazer cabeça de marreta,Craft SledgeHammer Head
STR_HRS_Action_Craft_SmallMetalPlate,Craft Small Metal Plate,Craft Small Metal Plate,Craft Small Metal Plate,kleines Metallblech herstellen,Сделать маленькую пластину,Craft Small Metal Plate,Craft Small Metal Plate,Craft Small Metal Plate,Fabricar Hoja de Metal Pequeña,Créer une plaque de métal martellée,Craft Small Metal Plate,Craft Small Metal Plate,Cortar placa de metal em pedaços,Craft Small Metal Plate
STR_HRS_Action_Craft_Soap,Craft Handmade Soap,Craft Handmade Soap,Craft Handmade Soap,Craft Handmade Soap,Приготовить самодельное мыло,Craft Handmade Soap,Craft Handmade Soap,Craft Handmade Soap,Craft Handmade Soap,Fabriquer un savon artisanal,Craft Handmade Soap,Craft Handmade Soap,Fazer bloco de sabão,Craft Handmade Soap
STR_HRS_Action_Craft_VegetalFibers,Get Vegetal Fibers,Get Vegetal Fibers,Get Vegetal Fibers,Pflanzenseil herstellen,Вырезать растительные волокна,Get Vegetal Fibers,Get Vegetal Fibers,Get Vegetal Fibers,Conseguir fibras vegetales,Couper des fibres végétales,Get Vegetal Fibers,Get Vegetal Fibers,Pegar fibra vegetal,Get Vegetal Fibers
STR_HRS_Action_Craft_VegetalFibersRope,Craft Fibers Rope,Craft Fibers Rope,Craft Fibers Rope,Faserseil herstellen,Сделать верёвку из волокон,Craft Fibers Rope,Craft Fibers Rope,Craft Fibers Rope,Fabriar cuerda de fibras,Créer une corde de fibres,Craft Fibers Rope,Craft Fibers Rope,Fazer corda com fibras,Craft Fibers Rope
STR_HRS_Action_Craft_WhetStone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone,Créer une pierre à aiguiser,Craft Whetstone,Craft Whetstone,Craft Whetstone,Craft Whetstone
STR_HRS_Action_Destroy_Barrel,Destroy,Destroy,Destroy,Fass zerstören,Сломать,Destroy,Destroy,Destroy,Destruir,Détruire,Destroy,Destroy,Destruir,Destroy
STR_HRS_Action_Destroy_BurlapTent,Destroy Burlap Tent,Destroy Burlap Tent,Destroy Burlap Tent,Jutezelt zerstören,Разобрать тент,Destroy Burlap Tent,Destroy Burlap Tent,Destroy Burlap Tent,Destruir tienda de yute,Détruire la tente,Destroy Burlap Tent,Destroy Burlap Tent,Destruir tenda de lona,Destroy Burlap Tent
STR_HRS_Action_Destroy_CamoTent,Destroy Camo Tent,Destroy Camo Tent,Destroy Camo Tent,Tarnzelt zerstören,Разобрать тент,Destroy Camo Tent,Destroy Camo Tent,Destroy Camo Tent,Destruir tienda de campaña camuflada,Détruire la tente,Destroy Camo Tent,Destroy Camo Tent,Destruir tenda improvisada,Destroy Camo Tent
STR_HRS_Action_Destroy_FernShelter,Destroy,Destroy,Destroy,Farnunterstand zerstören,Разобрать,Destroy,Destroy,Destroy,Destruir,Détruire,Destroy,Destroy,Destruir,Destroy
STR_HRS_Action_PartsToTripod,Assemble Tripod,Assemble Tripod,Assemble Tripod,Dreibein aufbauen,Собрать треногу,Assemble Tripod,Assemble Tripod,Assemble Tripod,Montar Tripode,Assembler le trépied,Assemble Tripod,Assemble Tripod,Colocar suporte,Assemble Tripod
STR_HRS_Action_ToggleRadioK7,Play / Stop Playback,Play / Stop Playback,Play / Stop Playback,Start / Stopp Kassette,Вкл. / Выкл проигрывание,Play / Stop Playback,Play / Stop Playback,Play / Stop Playback,Play / Stop música,Lecture / Arrêt de la musique,Play / Stop Playback,Play / Stop Playback,Iniciar / Parar toca fitas,Play / Stop Playback
STR_HRS_Action_TripodToParts,Disassemble Tripod,Disassemble Tripod,Disassemble Tripod,Dreibein zerlegen,Разобрать треногу,Disassemble Tripod,Disassemble Tripod,Disassemble Tripod,Desmontar Tripode,Désassembler le trépied,Disassemble Tripod,Disassemble Tripod,Desmontar Tripé,Disassemble Tripod
STR_HRS_Action_UseAnimalCall,Use Animal Call,Use Animal Call,Use Animal Call,Lockpfeife benutzen,Использовать манок,Use Animal Call,Use Animal Call,Use Animal Call,Usar Reclamo,Utiliser l’appeau,Use Animal Call,Use Animal Call,Usar apito de animal,Use Animal Call
STR_HRS_Action_UseSongBox,Shake the box,Shake the box,Shake the box,Box schütteln,Потрясти коробку,Shake the box,Shake the box,Shake the box,Agitar la cajita,Remuer la boite,Shake the box,Shake the box,Chacoalhar caixa,Shake the box
STR_HRS_Axe_Blade0,Handmade Axe Blade,Handmade Axe Blade,Handmade Axe Blade,handgemachte Axtschneide,Лезвие каменного топора,Handmade Axe Blade,Handmade Axe Blade,Handmade Axe Blade,Filo de hacha hecha a mano,Lame de hache,Handmade Axe Blade,Handmade Axe Blade,Lâmina de machado improvisado,Handmade Axe Blade
STR_HRS_Axe_Blade1,An axe blade made with a stone,An axe blade made with a stone,An axe blade made with a stone,An axe blade made with a stone,Лезвие топора из камня,An axe blade made with a stone,An axe blade made with a stone,An axe blade made with a stone,An axe blade made with a stone,Une lame de hache fabriquée à partir d'une pierre,An axe blade made with a stone,An axe blade made with a stone,Uma lâmina de machado feita com pedra,An axe blade made with a stone
STR_HRS_Axe_Handle0,Handmade Axe Handle,Handmade Axe Handle,Handmade Axe Handle,handgemachter Axtstiel,Рукоять каменного топора,Handmade Axe Handle,Handmade Axe Handle,Handmade Axe Handle,Mango de hacha hecha a mano,Manche de hache,Handmade Axe Handle,Handmade Axe Handle,Cabo de machado improvisado,Handmade Axe Handle
